date,starting_balance,trading_pnl,withdrawal,ending_balance,drawdown,trade_count,wins,losses,btc_pnl,gold_pnl
2026-03-25,8619.648336,330.687356,0.0,8950.335692,0.0,5,3,2,252.771187,77.916169
2026-03-26,8950.335692,-423.954227,0.0,8526.381465,-423.954227,5,1,4,-266.496245,-157.457982
2026-03-27,8526.381465,371.897792,0.0,8898.279257,-412.742462,5,2,3,784.640254,-412.742462
2026-03-28,8898.279257,260.942039,0.0,9159.221296,-151.800423,2,1,1,260.942039,0.0
2026-03-29,9159.221296,-272.715814,0.0,8886.505482,-424.516237,2,0,2,-272.715814,0.0
2026-03-30,8886.505482,231.508988,0.0,9118.01447,-193.007249,4,2,2,260.596773,-29.087785
2026-03-31,9118.01447,97.206881,0.0,9215.221352,-170.178893,5,2,3,267.385774,-170.178893
2026-04-01,9215.221352,-241.354763,1870.350832,7103.515757,-2281.884488,4,1,3,-218.69352,-22.661243
2026-04-02,7103.515757,272.521889,0.0,7376.037646,-2009.362599,5,3,2,208.3106,64.211289
2026-04-03,7376.037646,216.302304,0.0,7592.33995,-1793.060295,2,1,1,216.302304,0.0
2026-04-04,7592.33995,222.645369,0.0,7814.985319,-1570.414926,2,1,1,222.645369,0.0
2026-04-05,7814.985319,229.174444,0.0,8044.159763,-1341.240481,2,1,1,229.174444,0.0
2026-04-06,8044.159763,845.676885,0.0,8889.836648,-495.563596,3,3,0,740.263802,105.413083
2026-04-07,8889.836648,1052.475331,0.0,9942.31198,0.0,4,4,0,818.087218,234.388114
2026-04-08,9942.31198,381.43051,0.0,10323.74249,-157.214353,5,3,2,291.558299,89.872211
2026-04-09,10323.74249,396.06385,0.0,10719.80634,0.0,5,3,2,302.743749,93.320102
2026-04-10,10719.80634,314.358321,0.0,11034.164661,-168.032964,2,1,1,314.358321,0.0
2026-04-11,11034.164661,-328.542253,0.0,10705.622408,-496.575217,2,0,2,-328.542253,0.0
2026-04-12,10705.622408,-318.759907,0.0,10386.862501,-815.335124,2,0,2,-318.759907,0.0
2026-04-13,10386.862501,57.895476,0.0,10444.757977,-757.439649,5,3,2,-309.268831,367.164307
2026-04-14,10444.757977,-170.284071,0.0,10274.473906,-927.723719,5,1,4,306.292528,-476.576598
2026-04-15,10274.473906,-65.241754,0.0,10209.232152,-992.965474,4,2,2,-305.922461,240.680706
2026-04-16,10209.232152,-216.993547,0.0,9992.238605,-1209.959021,5,2,3,-303.979887,86.986341
2026-04-17,9992.238605,106.526959,0.0,10098.765564,-1103.432062,5,2,3,293.022397,-186.495438
2026-04-18,10098.765564,296.1463,0.0,10394.911864,-807.285761,2,1,1,296.1463,0.0
2026-04-19,10394.911864,304.83079,0.0,10699.742654,-502.454971,2,1,1,304.83079,0.0
2026-04-20,10699.742654,579.680202,0.0,11279.422856,0.0,4,3,1,313.769953,265.910248
2026-04-21,11279.422856,432.727923,0.0,11712.150779,-37.363455,5,3,2,330.769075,101.958848
2026-04-22,11712.150779,-212.368232,0.0,11499.782548,-249.731687,3,1,2,-348.729289,136.361058
2026-04-23,11499.782548,768.49766,0.0,12268.280207,0.0,5,4,1,337.231123,431.266536
2026-04-24,12268.280207,511.303887,0.0,12779.584095,0.0,3,2,1,359.767317,151.53657
2026-04-25,12779.584095,374.761304,0.0,13154.345398,0.0,2,1,1,374.761304,0.0
2026-04-26,13154.345398,385.751179,0.0,13540.096577,-206.194364,2,1,1,385.751179,0.0
2026-04-27,13540.096577,-85.978091,0.0,13454.118486,-292.172455,4,2,2,-403.156376,317.178284
2026-04-28,13454.118486,-243.954113,0.0,13210.164373,-536.126568,3,1,2,-400.596378,156.642265
2026-04-29,13210.164373,576.191786,0.0,13786.356159,-639.473591,5,2,3,1215.665376,-639.473591
2026-04-30,13786.356159,404.284894,0.0,14190.641053,-235.188696,2,1,1,404.284894,0.0
2026-05-01,14190.641053,-175.550002,3422.885267,10592.205784,-3833.623966,5,1,4,315.764438,-491.314441
2026-05-02,10592.205784,974.747737,0.0,11566.953521,-2858.876228,2,2,0,974.747737,0.0
2026-05-03,11566.953521,339.200912,0.0,11906.154433,-2519.675316,2,1,1,339.200912,0.0
2026-05-04,11906.154433,126.931159,0.0,12033.085592,-2392.744158,5,2,3,349.147979,-222.21682
2026-05-05,12033.085592,651.916752,0.0,12685.002345,-1740.827405,4,3,1,352.870235,299.046517
2026-05-06,12685.002345,-269.615149,0.0,12415.387195,-2010.442554,5,2,3,-377.695945,108.080796
2026-05-07,12415.387195,476.308476,0.0,12891.695672,-1534.134078,5,3,2,364.08123,112.227247
2026-05-08,12891.695672,698.43369,0.0,13590.129362,-835.700387,4,3,1,378.048976,320.384715
2026-05-09,13590.129362,-404.646102,0.0,13185.48326,-1240.346489,2,0,2,-404.646102,0.0
2026-05-10,13185.48326,-392.597764,0.0,12792.885496,-1632.944253,2,0,2,-392.597764,0.0
2026-05-11,12792.885496,-931.110951,0.0,11861.774545,-2564.055205,5,0,5,-380.908166,-550.202786
2026-05-12,11861.774545,455.069477,0.0,12316.844022,-2108.985727,5,3,2,347.846539,107.222939
2026-05-13,12316.844022,-78.210575,0.0,12238.633447,-2187.196302,4,2,2,-366.734031,288.523456
2026-05-14,12238.633447,-579.712378,0.0,11658.92107,-2766.90868,5,1,4,-364.405311,-215.307067
2026-05-15,11658.92107,-211.403055,0.0,11447.518015,-2978.311735,3,1,2,-347.144375,135.74132
2026-05-16,11447.518015,335.698466,0.0,11783.216481,-2642.613269,2,1,1,335.698466,0.0
2026-05-17,11783.216481,0.0,507.730347,11275.486134,-3150.343616,0,0,0,0.0,0.0
