timestamp_utc,runner,group,strategy_kind,symbol,candle_time,event,reason,signal_reason,action,entry_price,stop_loss,take_profit,account_balance,account_equity,account_available_funds,open_positions_count,open_symbols,position_sizing_mode,account_risk_per_trade_pct,risk_amount,stop_distance,initial_position_size,final_position_size,position_size_capped,max_position_notional_pct,max_position_notional,max_position_size,broker_order_id,broker_deal_reference,broker_deal_id,realized_pnl,realized_currency,close_transaction_reference,close_transaction_time_utc
2026-05-17T19:43:21.500919+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:43:48.735830+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:44:14.643168+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:43:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:44:16.069367+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:44:43.282322+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:45:09.108099+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:44:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:45:10.505346+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:45:37.849689+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:46:05.027669+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:46:30.798601+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:45:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:46:32.198881+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:46:59.428522+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:47:25.421282+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:46:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:47:26.795494+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:47:54.075364+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:48:19.896069+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:47:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:48:21.316449+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:48:48.592770+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:49:14.528038+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:48:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:49:15.943886+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:49:43.011136+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:50:08.855448+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:49:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:50:10.264237+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:50:37.531280+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:51:05.256873+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:51:31.114818+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:50:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:51:32.521070+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:51:59.724025+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:52:25.679192+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:51:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:52:27.069420+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:52:54.335794+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:53:20.071148+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:52:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:53:21.443606+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:53:48.697737+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:54:14.474629+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:53:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:54:15.860061+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:54:42.983957+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:55:08.772974+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:54:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:55:10.182287+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:55:37.518472+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:56:04.934159+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:56:30.770802+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:55:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:56:32.157844+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:56:59.793251+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:57:25.671405+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:56:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:57:27.094534+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:57:54.194061+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:58:20.462645+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:57:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:58:21.872671+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:58:49.108873+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:59:14.874013+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:58:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:59:16.237007+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:59:43.297974+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T20:00:09.266807+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:59:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T20:00:10.684576+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T20:00:37.794108+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T20:01:05.001296+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T20:01:31.136572+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T20:00:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T20:01:32.478732+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T20:01:59.837105+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T20:02:25.724929+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T20:01:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T20:02:27.140800+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T20:02:54.288186+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T20:03:20.378409+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T20:02:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T20:03:21.757510+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T20:03:48.950921+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T20:04:14.804977+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T20:03:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
