date,starting_balance,trading_pnl,withdrawal,ending_balance,drawdown,trade_count,wins,losses,btc_pnl,gold_pnl
2026-03-04,1873.454159,26.013145,0.0,1899.467304,-3240.15755,3,1,2,54.939043,-28.925898
2026-03-05,1899.467304,20.250165,0.0,1919.717469,-3219.907385,5,2,3,55.701879,-35.451714
2026-03-06,1919.717469,73.648746,0.0,1993.366215,-3146.258639,5,3,2,56.295715,17.353032
2026-03-07,1993.366215,58.455464,0.0,2051.821679,-3087.803174,2,1,1,58.455464,0.0
2026-03-08,2051.821679,188.81889,0.0,2240.640569,-2898.984284,2,2,0,188.81889,0.0
2026-03-09,2240.640569,23.887403,0.0,2264.527972,-2875.096882,5,2,3,65.706785,-41.819382
2026-03-10,2264.527972,-107.264827,0.0,2157.263145,-2982.361708,5,1,4,-67.42632,-39.838506
2026-03-11,2157.263145,89.90804,0.0,2247.171186,-2892.453668,3,2,1,63.261742,26.646299
2026-03-12,2247.171186,-47.762813,0.0,2199.408373,-2940.216481,5,2,3,-66.909522,19.146709
2026-03-13,2199.408373,23.447827,0.0,2222.8562,-2916.768654,5,2,3,64.497651,-41.049823
2026-03-14,2222.8562,-26.290585,0.0,2196.565615,-2943.059238,2,1,1,-26.290585,0.0
2026-03-15,2196.565615,64.414287,0.0,2260.979902,-2878.644952,2,1,1,64.414287,0.0
2026-03-16,2260.979902,151.094836,0.0,2412.074738,-2727.550115,5,4,1,66.303236,84.791601
2026-03-17,2412.074738,70.734092,0.0,2482.80883,-2656.816023,2,1,1,70.734092,0.0
2026-03-18,2482.80883,-117.604226,0.0,2365.204604,-2774.420249,5,1,4,-73.925633,-43.678593
2026-03-19,2365.204604,280.018587,0.0,2645.223192,-2494.401662,4,4,0,217.657954,62.360634
2026-03-20,2645.223192,28.200646,0.0,2673.423838,-2466.201016,5,2,3,77.57117,-49.370524
2026-03-21,2673.423838,-79.601195,0.0,2593.822643,-2545.802211,2,0,2,-79.601195,0.0
2026-03-22,2593.822643,76.063849,0.0,2669.886492,-2469.738362,2,1,1,76.063849,0.0
2026-03-23,2669.886492,-16.953479,0.0,2652.933013,-2486.691841,4,2,2,-79.49587,62.542391
2026-03-24,2652.933013,244.136161,0.0,2897.069173,-2242.55568,2,2,0,244.136161,0.0
2026-03-25,2897.069173,111.144226,0.0,3008.2134,-2131.411454,5,3,2,84.956554,26.187673
2026-03-26,3008.2134,-142.49128,0.0,2865.72212,-2273.902734,5,1,4,-89.569554,-52.921726
2026-03-27,2865.72212,124.995079,0.0,2990.717199,-2148.907654,5,2,3,263.718078,-138.722999
2026-03-28,2990.717199,87.702782,0.0,3078.419981,-2061.204873,2,1,1,87.702782,0.0
2026-03-29,3078.419981,-91.659955,0.0,2986.760026,-2152.864827,2,0,2,-91.659955,0.0
2026-03-30,2986.760026,77.810315,0.0,3064.570341,-2075.054512,4,2,2,87.586738,-9.776423
2026-03-31,3064.570341,32.671293,0.0,3097.241635,-2042.383219,5,2,3,89.868525,-57.197232
2026-04-01,3097.241635,-68.916022,1000.0,2028.325613,-3111.299241,4,1,3,-62.44537,-6.470652
2026-04-02,2028.325613,77.815429,0.0,2106.141042,-3033.483812,5,3,2,59.480649,18.334781
2026-04-03,2106.141042,61.762586,0.0,2167.903628,-2971.721226,2,1,1,61.762586,0.0
2026-04-04,2167.903628,63.573774,0.0,2231.477402,-2908.147452,2,1,1,63.573774,0.0
2026-04-05,2231.477402,65.438075,0.0,2296.915477,-2842.709377,2,1,1,65.438075,0.0
2026-04-06,2296.915477,241.473116,0.0,2538.388593,-2601.236261,3,3,0,211.373647,30.099469
2026-04-07,2538.388593,300.521987,0.0,2838.91058,-2300.714273,4,4,0,233.59521,66.926777
2026-04-08,2838.91058,108.913009,0.0,2947.823589,-2191.801265,5,3,2,83.251053,25.661956
2026-04-09,2947.823589,113.091387,0.0,3060.914976,-2078.709877,5,3,2,86.444927,26.646461
2026-04-10,3060.914976,89.761332,0.0,3150.676308,-1988.948546,2,1,1,89.761332,0.0
2026-04-11,3150.676308,-93.811387,0.0,3056.864921,-2082.759933,2,0,2,-93.811387,0.0
2026-04-12,3056.864921,-91.018153,0.0,2965.846768,-2173.778086,2,0,2,-91.018153,0.0
2026-04-13,2965.846768,16.531374,0.0,2982.378142,-2157.246712,5,3,2,-88.308088,104.839462
2026-04-14,2982.378142,-48.622619,0.0,2933.755523,-2205.869331,5,1,4,87.458239,-136.080858
2026-04-15,2933.755523,-18.629018,0.0,2915.126505,-2224.498349,4,2,2,-87.352571,68.723553
2026-04-16,2915.126505,-61.959962,0.0,2853.166543,-2286.458311,5,2,3,-86.797892,24.837929
2026-04-17,2853.166543,30.417524,0.0,2883.584066,-2256.040787,5,2,3,83.669109,-53.251585
2026-04-18,2883.584066,84.561103,0.0,2968.145169,-2171.479685,2,1,1,84.561103,0.0
2026-04-19,2968.145169,87.040857,0.0,3055.186026,-2084.438828,2,1,1,87.040857,0.0
2026-04-20,3055.186026,165.520883,0.0,3220.706909,-1918.917945,4,3,1,89.59333,75.927553
2026-04-21,3220.706909,123.560383,0.0,3344.267292,-1795.357561,5,3,2,94.44723,29.113153
